Analysis,Well,Sample,Excluded,Tm,Call,dTm,Slope,Initial,Low,Peak,Message
Program - SYPRO Orange - All Samples,N16,Sample 328,FALSE,67.05420459,Positive,,0.33428165,26.8402307,18.09598703,20.10328415,
Program - SYPRO Orange - All Samples,N17,Sample 329,FALSE,66.71523554,Positive,,0.326015989,24.66777687,16.18453983,18.02377635,
Program - SYPRO Orange - All Samples,N18,Sample 330,FALSE,66.5587247,Positive,,0.410946418,28.89400663,18.54178331,20.99511131,
Program - SYPRO Orange - All Samples,N19,Sample 331,FALSE,66.50279666,Positive,,0.296603144,29.17931283,17.99160036,19.57656861,
Program - SYPRO Orange - All Samples,N20,Sample 332,FALSE,67.01473988,Positive,,0.344363577,27.79459742,18.27604656,20.12317288,
Program - SYPRO Orange - All Samples,N21,Sample 333,FALSE,66.81510328,Positive,,0.197080109,23.32153324,14.59447411,15.64406236,
Program - SYPRO Orange - All Samples,N22,Sample 334,FALSE,66.15985586,Positive,,0.176809931,38.35587473,23.89460705,24.71389039,
Program - SYPRO Orange - All Samples,N23,Sample 335,FALSE,66.09738954,Positive,,0.178494949,43.35667302,26.07770059,26.92227778,
Program - SYPRO Orange - All Samples,N24,Sample 336,FALSE,65.41311928,Positive,,0.294798912,52.02222433,33.98547161,35.59960123,
Program - SYPRO Orange - All Samples,O01,Sample 337,FALSE,67.3264956,Positive,,0.2186053,30.46069978,20.47768531,21.51335564,
Program - SYPRO Orange - All Samples,O02,Sample 338,FALSE,66.28786185,Positive,,0.208321481,26.3466837,19.60114923,20.61104248,
Program - SYPRO Orange - All Samples,O03,Sample 339,FALSE,67.75630863,Positive,,0.260701354,45.96227558,30.26354449,31.48642793,
Program - SYPRO Orange - All Samples,O04,Sample 340,FALSE,67.7994094,Positive,,0.322165218,42.9684806,26.58096146,28.15852022,
Program - SYPRO Orange - All Samples,O05,Sample 341,FALSE,66.96074569,Positive,,0.43269015,32.03410085,23.64993029,26.2206,
Program - SYPRO Orange - All Samples,O06,Sample 342,FALSE,66.85005678,Positive,,0.16398561,19.13090979,13.11947905,14.10638837,
Program - SYPRO Orange - All Samples,O07,Sample 343,FALSE,66.70943058,Positive,,0.259008167,27.09595937,18.52079311,20.05247083,
Program - SYPRO Orange - All Samples,O08,Sample 344,FALSE,66.99993057,Positive,,0.112820722,23.17607785,15.92211286,16.55550903,
Program - SYPRO Orange - All Samples,O09,Sample 345,FALSE,67.35605681,Positive,,0.28964327,37.60543933,26.39217074,28.11889104,
Program - SYPRO Orange - All Samples,O10,Sample 346,FALSE,67.13923872,Positive,,0.068553696,20.54910609,13.14216408,13.44347515,
Program - SYPRO Orange - All Samples,O11,Sample 347,FALSE,66.42757506,Positive,,0.188771889,35.86975556,25.15537824,26.23393151,
Program - SYPRO Orange - All Samples,O12,Sample 348,FALSE,66.52823963,Positive,,0.14176826,26.47441604,19.39340641,20.23084854,
Program - SYPRO Orange - All Samples,O13,Sample 349,FALSE,66.74654608,Positive,,0.142266062,26.65599894,18.36772273,19.19036776,
Program - SYPRO Orange - All Samples,O14,Sample 350,FALSE,65.75254296,Positive,,0.229105484,33.2081319,22.70946347,23.91763302,
Program - SYPRO Orange - All Samples,O15,Sample 351,FALSE,67.92079304,Positive,,0.072949904,25.61033198,16.59432292,16.91049208,
Program - SYPRO Orange - All Samples,O16,Sample 352,FALSE,67.70183204,Positive,,0.206867192,27.12708696,19.11709135,20.22873801,
Program - SYPRO Orange - All Samples,O17,Sample 353,FALSE,66.88624759,Positive,,0.253738117,27.89050272,19.4495673,20.88259823,
Program - SYPRO Orange - All Samples,O18,Sample 354,FALSE,67.08011231,Positive,,0.247491019,28.77588377,19.84915684,21.21927736,
Program - SYPRO Orange - All Samples,O19,Sample 355,FALSE,66.62151226,Positive,,0.33153749,47.61954697,30.76786079,32.60309322,
Program - SYPRO Orange - All Samples,O20,Sample 356,FALSE,67.64451344,Positive,,0.120643945,26.16277232,17.04065005,17.53700502,
Program - SYPRO Orange - All Samples,O21,Sample 357,FALSE,67.3280922,Positive,,0.149272119,26.41091087,18.3140788,19.17665776,
Program - SYPRO Orange - All Samples,O22,Sample 358,FALSE,66.80727485,Positive,,0.042568651,36.27993088,23.46502646,23.65074283,
Program - SYPRO Orange - All Samples,O23,Sample 359,FALSE,66.78681964,Positive,,0.124579006,33.35276376,22.86340133,23.50141823,
Program - SYPRO Orange - All Samples,O24,Sample 360,FALSE,66.45318272,Positive,,0.086072986,64.75457463,41.69107825,41.94568627,
Program - SYPRO Orange - All Samples,P01,Sample 361,FALSE,69.2762558,Positive,,0.061173165,55.36729002,31.88962378,32.04173998,
Program - SYPRO Orange - All Samples,P02,Sample 362,FALSE,67.02832797,Positive,,0.106406931,37.26240855,26.00783654,26.44478512,
Program - SYPRO Orange - All Samples,P03,Sample 363,FALSE,69.09737404,Positive,,0.163481564,41.42205107,29.55887599,30.36783236,
Program - SYPRO Orange - All Samples,P04,Sample 364,FALSE,69.11474449,Positive,,0.224150244,39.80019871,28.67543525,29.9368216,
Program - SYPRO Orange - All Samples,P05,Sample 365,FALSE,68.26787496,Positive,,-0.15732203,61.67829469,31.51206743,31.55706013,
Program - SYPRO Orange - All Samples,P06,Sample 366,FALSE,67.77045255,Positive,,0.140382258,30.23314525,22.56885457,23.3847382,
Program - SYPRO Orange - All Samples,P07,Sample 367,FALSE,67.32404229,Positive,,0.110826389,29.4318985,23.35666278,23.89793162,
Program - SYPRO Orange - All Samples,P08,Sample 368,TRUE,-,-,-,-,-,-,-,
Program - SYPRO Orange - All Samples,P09,Sample 369,FALSE,68.93655644,Uncertain,,-0.174003534,86.69028689,54.2250307,54.22401568,1st derivative max below detection limit (2.5 * deviation)
Program - SYPRO Orange - All Samples,P10,Sample 370,FALSE,68.83333008,Positive,,0.033242777,35.76922489,24.0992729,24.28042655,
Program - SYPRO Orange - All Samples,P11,Sample 371,FALSE,68.52619597,Uncertain,,0.040976645,35.58897094,25.25677883,25.53932702,1st derivative max below detection limit (2.5 * deviation)
Program - SYPRO Orange - All Samples,P12,Sample 372,FALSE,67.81100434,Uncertain,,0.138507208,38.01292969,28.11056836,29.05544499,1st derivative max below detection limit (2.5 * deviation)
Program - SYPRO Orange - All Samples,P13,Sample 373,FALSE,67.52536221,Uncertain,,0.043666823,35.44583274,25.5579123,25.79753565,1st derivative max below detection limit (2.5 * deviation)
Program - SYPRO Orange - All Samples,P14,Sample 374,FALSE,66.31382224,Positive,,0.065013901,35.84610076,25.02005236,25.35538095,
Program - SYPRO Orange - All Samples,P15,Sample 375,FALSE,69.98992392,Positive,,-0.019789925,24.9744816,15.24869721,15.26091532,
Program - SYPRO Orange - All Samples,P16,Sample 376,FALSE,68.62774924,Positive,,0.050296628,28.96912034,18.40875849,18.61557203,
Program - SYPRO Orange - All Samples,P17,Sample 377,FALSE,67.48933028,Positive,,0.175962742,33.60555249,25.66726277,26.63936528,
Program - SYPRO Orange - All Samples,P18,Sample 378,FALSE,67.98440578,Uncertain,,0.110696952,37.86580239,26.57325133,27.10602905,1st derivative max below detection limit (2.5 * deviation)
Program - SYPRO Orange - All Samples,P19,Sample 379,FALSE,67.66713789,Positive,,0.095252556,29.91104143,21.30933397,21.79595053,
Program - SYPRO Orange - All Samples,P20,Sample 380,FALSE,69.04706093,Positive,,0.054266416,33.91690064,24.04970479,24.33757382,
Program - SYPRO Orange - All Samples,P21,Sample 381,FALSE,68.72311468,Positive,,0.05025016,39.12492667,26.69081682,26.91934416,
Program - SYPRO Orange - All Samples,P22,Sample 382,FALSE,68.49734286,Positive,,0.02935356,34.80064363,24.30450095,24.49927957,
Program - SYPRO Orange - All Samples,P23,Sample 383,FALSE,67.40007127,Positive,,0.080936784,35.4986567,26.10105458,26.54476451,
Program - SYPRO Orange - All Samples,P24,Sample 384,FALSE,68.42087402,Positive,,-0.446762865,103.5500262,55.43679506,55.31033114,
